id	filename	md5	size	state
7c1ae8c5-7d2f-4dc6-8095-595170e18ef8	7d207f6d-7de9-40db-8f06-0ba1ce1314e2.rna_seq.augmented_star_gene_counts.tsv	59159b138862a4ca5965987df55aebbf	4195770	released
8f9bdc08-4bf2-4d54-9e5d-785c98b53c1b	a7581a96-0b0f-4ff5-834f-57169c26ac10.rna_seq.augmented_star_gene_counts.tsv	2530ef3454989f8d0289c0fd168722ea	4217904	released
215df61b-4716-472d-a4d1-c3c892794930	4ce4d688-ce22-43bf-817b-393ee751da34.rna_seq.augmented_star_gene_counts.tsv	272b755ded43aeb9f46edaeeb7d4cddb	4200230	released
238c5d80-b1f3-4838-9523-cdb0db4f8c62	8256500e-ea1f-487e-9b69-7e6f6c992334.rna_seq.augmented_star_gene_counts.tsv	a4fb9deafb7e827e86b2979122276be2	4193752	released
1d45815b-4128-4a12-a743-254f2e0e9059	ba0570bd-508d-4b93-b147-365af6a86241.rna_seq.augmented_star_gene_counts.tsv	a89c8b00095dfd9579c15afac225185d	4212729	released
aa4299bc-6875-4151-9b99-f382b2f2772a	4ebec7e0-8377-4c46-b153-d7b084aa7cab.rna_seq.augmented_star_gene_counts.tsv	5697f48369265bd0e9fb64d9c380019a	4223461	released
f95c7316-0bd3-4bef-8dec-8147a8993aff	2d5c7af9-63ae-4461-847a-79d379cb59f6.rna_seq.augmented_star_gene_counts.tsv	0d7c9bad99e1332803e6931f8fa819e3	4205367	released
81bd3822-ed31-40df-a016-7dba692bb467	116b9b65-ffc3-4cd6-8a08-aa3e28f76269.rna_seq.augmented_star_gene_counts.tsv	3b6d619746fb7ae2c827c430e8b6f36e	4204160	released
766e40a6-91b9-4b1e-9112-6b03e8a1ac42	fb9b328b-eaa7-4372-9444-fc75fbf8a0c5.rna_seq.augmented_star_gene_counts.tsv	54d595acc79021ab1dbdb5ee87b8f16d	4200814	released
16fc3906-0376-4326-9f05-b4569063b115	b1aeced1-1b77-41ac-92ee-189f94c1650f.rna_seq.augmented_star_gene_counts.tsv	cbb48a049b76e532b8550c007aad6fd6	4208577	released
