Case ID,File ID,File Name
11BR075,959b1d82-b8bd-469e-8d04-d0278c1def10,06c5f033-20a4-4829-b832-573bafc9b80c.rna_seq.augmented_star_gene_counts.tsv
20BR006,abddbc1f-3227-479d-b68f-406dd9eab12e,d43d749c-eea4-4467-a1c9-751923cefbc6.rna_seq.augmented_star_gene_counts.tsv
21BR002,bb933466-b36a-4952-a372-54e09362c0c7,a739e3ff-f172-4f9c-94b6-b9fcc4458627.rna_seq.augmented_star_gene_counts.tsv
21BR010,46bdffdd-d8b3-4aa9-a36c-5b695c41aacb,fc6e0c8a-46a8-4cfc-b824-8181a8984072.rna_seq.augmented_star_gene_counts.tsv
05BR016,c659dd7a-68c3-4e7c-8b67-cda1f2fc518a,f1c423bc-6155-4cfb-8cc8-a98ccd97bd2e.rna_seq.augmented_star_gene_counts.tsv
11BR006,defbfeb5-42ac-4bc7-b323-6dbba32a1bd7,b89bc06f-91ca-4dd7-834d-87bb730048cd.rna_seq.augmented_star_gene_counts.tsv
03BR004,f7321879-7450-4584-9730-e07477f41950,4f1c4f93-7ce5-4348-82b4-20bf6bd178c4.rna_seq.augmented_star_gene_counts.tsv
20BR007,57bda069-93ee-4614-b64e-fbf7c91aa1fe,4a9a8be4-1c11-4c8b-b943-77e122513731.rna_seq.augmented_star_gene_counts.tsv
01BR040,2e127ae7-9706-4d43-bfe3-1d2f943b0f05,0fdef70f-2ab5-4a89-a24d-9706807f475a.rna_seq.augmented_star_gene_counts.tsv
11BR011,286502d3-768b-4bf9-8a50-e7c0fbdb0637,4cb87d16-3196-4e80-a0b9-ba1a3907fe18.rna_seq.augmented_star_gene_counts.tsv
21BR001,9009b638-490e-4b93-ba41-c07c15214d4c,b6689457-11c5-4930-b8f6-ebb578c36478.rna_seq.augmented_star_gene_counts.tsv
06BR003,801a1085-7b74-4ce7-9c63-79c17a6e3e1c,aeb6046b-c9fe-4e8e-8a36-6ebb257f0850.rna_seq.augmented_star_gene_counts.tsv
18BR004,b97d4cd2-7992-4fbf-86b6-e0b9c98539e4,e95dbce1-6923-419c-b344-b198a71a079f.rna_seq.augmented_star_gene_counts.tsv
11BR020,296bec18-8766-44b8-88ef-addb87d04bba,7ad804b5-0e75-4562-99db-e6f508950c03.rna_seq.augmented_star_gene_counts.tsv
18BR017,932caa50-1646-4213-b794-508f17299541,3b373822-d0bb-4268-ae0b-987fe54d3ada.rna_seq.augmented_star_gene_counts.tsv
20BR008,a5421ceb-cb63-4989-8f94-dfee9a8199c7,47eada17-b3f3-4b29-bce7-eaddfdf6f83d.rna_seq.augmented_star_gene_counts.tsv
11BR019,24f4d310-3e8f-4593-83e8-392115be70cc,be1d099f-2fda-4ef6-a990-9aeaaa301c0c.rna_seq.augmented_star_gene_counts.tsv
11BR047,b3b8339c-7bad-4e3c-a52f-9fd6c4bc1bfb,6a3b82ee-c799-4118-ad51-ab6e2c16b986.rna_seq.augmented_star_gene_counts.tsv
11BR051,815bcfc3-45cd-4f6d-abdf-31eb8503b0b9,89987a2a-c0d2-4397-86ef-18cd81252cf1.rna_seq.augmented_star_gene_counts.tsv
11BR027,33bb71b2-8a1e-4f56-aab8-5ecd838f1a79,e5cb8bf0-c8b9-4672-b6c6-b94922c1c551.rna_seq.augmented_star_gene_counts.tsv
20BR002,d91280bf-7bea-463f-9188-ff4c6427e434,f291af11-4376-45cb-b9ec-94447cd45462.rna_seq.augmented_star_gene_counts.tsv
01BR031,4e0da11e-3e31-480d-9d79-c5a8362be44a,87e3a9d0-69b6-4c3e-aa19-055c711e8b2e.rna_seq.augmented_star_gene_counts.tsv
11BR043,14bc81a1-9690-4b6a-8128-9142243ef6f0,ec65d05f-49b5-4ee2-add1-f7c9dd0f172f.rna_seq.augmented_star_gene_counts.tsv
03BR013,46eec1bd-d4df-47fd-bd33-49891360bb2e,b4a6158e-daee-4605-a16d-568b212c863b.rna_seq.augmented_star_gene_counts.tsv
11BR004,1c0f4e45-f494-4cd2-9a3e-3eedaa3eaf32,f258fc7d-a58b-4e40-827a-d1de0ccd426f.rna_seq.augmented_star_gene_counts.tsv
01BR030,aa7cbf55-9ea8-45ba-b733-75cc93717372,b7b6b33b-5052-4538-8147-e82f69d03dda.rna_seq.augmented_star_gene_counts.tsv
15BR003,7c1f75b0-13da-4b84-ae93-76b13d1984c1,07c3e0d9-bc39-49f7-afc6-4fc796059094.rna_seq.augmented_star_gene_counts.tsv
01BR017,ddeff55b-9e50-48e2-ae6d-48f99a0f113d,46e728bd-1969-4434-bdeb-ab636e8ef9d4.rna_seq.augmented_star_gene_counts.tsv
11BR010,1594467f-39b3-4e92-9bc9-37517b6aa85c,ab74001f-e870-4a5b-a2bf-5f032c5f762b.rna_seq.augmented_star_gene_counts.tsv
01BR025,f9cc9db3-9b47-4779-ac7a-8ba243ad1d92,cdb382c7-accc-4c2e-b0f7-790e9c90c4a0.rna_seq.augmented_star_gene_counts.tsv
11BR032,faffd3a8-ee5f-4ab4-96d8-cb19c008d195,226970b9-c4c7-4f6e-8718-918576ad1667.rna_seq.augmented_star_gene_counts.tsv
22BR006,b6e85643-abac-4d08-8560-d65f5649ebad,4afc1523-7cc6-403d-bbb6-ed1fd0d38617.rna_seq.augmented_star_gene_counts.tsv
03BR002,edcdbbe4-faa0-44f5-8a1a-96a2d1271b20,8a58ad95-648a-43bd-8762-d92790d19e6a.rna_seq.augmented_star_gene_counts.tsv
14BR008,af701611-1c39-47cd-b2d1-dbc611fd6375,ee175ed9-d501-4fa7-97a9-3db3202aba89.rna_seq.augmented_star_gene_counts.tsv
