,AC135068.3,AC135068.9,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1OR15-1,IGHV1OR15-9,IGHV1OR21-1,IGHV2-26,IGHV2-5,IGHV2-70,IGHV2-70D,IGHV2OR16-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-20,IGHV3-21,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-38,IGHV3-43,IGHV3-48,IGHV3-49,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3-7,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3OR15-7,IGHV3OR16-10,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-8,IGHV3OR16-9,IGHV4-28,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-59,IGHV4-61,IGHV4OR15-8,IGHV5-10-1,IGHV5-51,IGHV6-1,IGHV7-4-1,IGHV7-81,IGHV8-51-1,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-37,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV1OR2-108,IGKV2-24,IGKV2-28,IGKV2-30,IGKV2-40,IGKV2D-24,IGKV2D-26,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV3OR2-268,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-33,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-16,IGLV3-19,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-27,IGLV3-32,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,TRAC,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ61,TRAJ7,TRAJ9,TRAV1-1,TRAV1-2,TRAV10,TRAV12-1,TRAV12-2,TRAV12-3,TRAV13-1,TRAV13-2,TRAV14DV4,TRAV16,TRAV17,TRAV18,TRAV19,TRAV2,TRAV20,TRAV21,TRAV22,TRAV23DV6,TRAV24,TRAV25,TRAV26-1,TRAV26-2,TRAV27,TRAV29DV5,TRAV3,TRAV30,TRAV34,TRAV36DV7,TRAV38-1,TRAV38-2DV8,TRAV39,TRAV4,TRAV40,TRAV41,TRAV5,TRAV6,TRAV7,TRAV8-1,TRAV8-2,TRAV8-3,TRAV8-4,TRAV8-6,TRAV8-7,TRAV9-1,TRAV9-2,TRBC1,TRBC2,TRBD1,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-2P,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV17,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV20OR9-2,TRBV23-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV30,TRBV4-1,TRBV4-2,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-9,TRBV9,TRDC,TRDD1,TRDD2,TRDD3,TRDJ1,TRDJ2,TRDJ3,TRDJ4,TRDV1,TRDV2,TRDV3,TRGC1,TRGC2,TRGJ1,TRGJ2,TRGJP,TRGJP1,TRGJP2,TRGV1,TRGV10,TRGV11,TRGV2,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9
05BR005,0,0,4,8,40,9,0,15,4,1,0,2,0,0,0,7,9,0,0,0,2,8,66,0,2,22,80,52,11,0,0,3,18,21,5,0,95,3,24,20,24,143,0,0,0,7,0,0,1,6,7,36,7,15,1,0,4,17,10,0,11,0,2,7,24,11,6,0,11,75,13,5,50,1,1,6,2,2,0,22,0,1,0,1,9,5,8,1,1,0,11,6,6,1,36,20,81,0,5,3,14,0,0,92,0,0,1,0,0,40,23,12,1,0,10,0,30,81,11,22,0,14,16,31,0,0,24,37,0,2,1,0,0,0,0,5,0,5,0,0,14,7,3,13,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,2,0,5,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,5,3,0,0,1,2,2,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,3,2,4,3,0,0
18BR016,0,0,19,3,8,24,0,5,0,3,2,7,0,0,0,80,6,9,2,0,1,2,21,1,0,13,30,24,7,0,0,0,5,27,4,2,2,5,22,1,2,10,0,0,0,0,0,0,0,7,7,6,6,28,3,0,15,75,11,0,0,0,6,7,16,9,1,0,0,69,2,0,8,4,2,0,1,0,0,4,0,0,2,1,5,1,5,0,0,0,4,1,0,0,154,72,61,0,6,4,2,1,0,82,0,1,1,0,0,19,14,33,2,0,0,0,14,29,1,19,0,8,13,11,0,0,14,5,0,15,0,0,1,0,0,10,0,0,0,1,4,5,10,3,0,251,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,1,3,1,0,1,0,1,3,5,0,1,3,0,0,0,0,1,0,2,1,2,1,0,0,1,1,1,2,0,0,1,0,0,1,0,0,1,4,0,0,2,42,80,1,0,0,0,0,1,3,1,1,0,0,1,0,1,0,0,0,2,0,0,0,2,0,1,1,1,0,0,1,2,0,2,0,0,2,0,5,3,0,1,0,0,0,1,0,1,0,1,0,1,1,0,2,1,0,0,0,6,3,0,2,0,3,4,9,0,0,0,2,0,0,0,3,1,0,4,16,0,0,0,0,0,1,2,0,1,7,1,0,2,1
11BR015,0,0,11,18,1,14,1,11,0,2,0,12,0,0,0,8,11,5,0,0,11,7,37,1,1,18,45,2,18,0,0,1,36,8,1,2,3,4,46,25,3,117,1,0,0,2,0,0,0,0,29,19,9,26,1,0,12,17,9,17,0,0,5,26,14,44,0,0,1,65,7,1,15,2,0,4,0,0,0,2,0,0,5,1,19,0,18,0,3,0,0,5,3,0,73,36,79,0,3,3,1,0,8,289,1,15,0,0,2,31,41,12,0,1,17,0,33,105,3,40,0,30,16,11,0,0,13,33,0,10,10,0,1,0,2,2,4,3,0,0,7,8,12,11,8,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,9,0,3,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,2,0,2,1,0,0,4,0,1,0,4,3,1,0,1,1,1,3,2,0,0,3,55,82,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,7,0,1,2,2,2,6,8,0,0,0,2,4,0,1,0,1,0,0,1,0,2,2,0,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,9,0,0,0,0,0,2,1,0,0,2,1,0,1,0
01BR042,0,0,2303,833,533,42,0,703,1,206,1245,628,0,0,1,5,981,38,9,0,96,26,525,0,31,120,3450,597,396,0,0,91,149,19,57,9,0,14,2099,7,14,265,1,0,0,12,0,1,4,14,86,82,50,805,341,0,0,1158,253,186,0,0,250,597,29,1564,534,1,114,14973,42,26,457,71,30,84,17,652,0,288,2,328,31,2,33,33,79,1,11,2,58,31,28,12,738,1599,3576,2,68,242,423,1,4,1426,1,4,5,0,2,1404,9416,960,0,103,2,0,948,879,43,136,0,21,1184,162,3,1,1985,1190,0,3675,29,0,0,1,31,114,7,48,17,0,3478,10,417,1922,68,541,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,3,10,9,11,7,5,2,12,3,12,4,3,7,14,4,5,1,1,0,3,4,1,0,0,4,9,9,1,13,0,2,0,2,0,1,3,4,4,6,0,0,3,327,597,7,2,0,4,2,2,5,2,0,2,3,0,0,3,0,2,6,4,0,4,17,12,0,3,3,4,0,0,6,11,11,27,0,1,3,1,13,6,8,4,1,6,7,19,0,16,4,4,1,5,2,1,12,11,1,0,0,3,8,2,10,0,21,19,99,0,0,0,2,0,1,1,13,3,0,9,27,0,0,2,0,0,3,5,0,1,14,17,27,2,6
11BR016,6,0,1531,501,2272,557,3,197,2,809,0,1015,0,1,0,43,1227,0,3,0,764,87,572,0,67,685,8967,20488,1495,1,1,3,1136,455,322,46,225,482,1731,238,199,565,5,1,0,28,1,1,60,865,122,2,233,433,432,1,191,1418,302,465,1,0,802,2380,673,582,51,0,44,1877,230,145,41541,13,9,74,9,102,0,69,5,4,22,6,306,29,2110,1,13,9,13,101,39,54,4752,958,5096,22,54,20,85,0,16,4154,103,90,9,1,143,3742,295,626,2,3,168,1,2464,3029,86,1031,2,139,1033,1305,5,4,5251,2583,1,2675,59,0,54,46,141,290,10,67,2,0,901,95,169,185,26,769,2,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,1,0,1,1,3,7,3,8,23,10,28,8,17,7,13,5,4,5,5,12,8,6,6,3,14,12,3,17,7,3,1,4,14,10,3,8,0,6,6,7,0,7,10,6,12,12,0,0,29,461,801,6,0,1,5,4,4,6,4,2,3,4,2,1,0,4,0,1,7,1,0,13,8,1,6,5,5,0,0,12,37,17,36,0,4,5,6,15,10,26,14,7,4,38,13,0,13,5,8,0,15,12,2,15,7,1,0,0,57,11,4,2,2,15,9,59,0,0,0,2,0,2,0,20,14,5,44,50,0,0,0,0,1,3,25,0,7,14,17,9,3,16
03BR010,0,0,50,115,23,50,0,13,3,3,0,3,0,0,0,4,122,14,0,0,28,9,15,0,26,61,163,521,32,1,0,11,30,7,18,5,0,7,98,25,7,46,1,0,0,0,0,0,1,14,15,61,8,85,9,0,0,10,39,11,0,0,24,25,28,22,4,0,3,131,50,21,20,10,1,3,0,2,0,1,0,0,2,1,36,0,49,0,0,0,0,7,1,9,230,49,235,0,1,0,19,0,0,2195,0,30,3,1,17,101,58,21,0,1,0,0,100,239,7,59,0,128,56,34,0,1,42,41,0,42,7,0,1,0,3,83,0,9,0,0,15,27,31,55,1,142,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,0,2,3,2,2,5,2,3,1,0,0,3,3,1,1,2,2,2,0,0,1,0,2,1,2,0,0,3,0,0,0,3,4,2,2,0,0,1,53,110,1,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,5,1,5,0,1,0,1,5,13,3,1,0,0,5,5,0,0,0,2,0,0,2,0,1,0,0,0,0,35,10,0,0,0,3,6,5,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,4,2,2,0,0,1
01BR033,5,0,741,570,598,35,0,519,97,314,10,820,1,0,0,307,1364,79,45,1,208,166,264,0,92,1062,520,1131,387,0,0,20,545,108,31,20,0,33,706,28,8,254,0,0,0,11,1,1,43,69,192,298,4,1818,735,2,5,983,75,198,0,0,155,265,305,683,46,0,31,5938,83,70,841,12,38,32,0,35,0,37,1,21,34,6,19,16,66,0,2,0,17,264,6,7,2137,668,5062,2,47,32,401,2,10,3718,6,92,384,0,3,4098,701,1060,3,6,2,0,481,1658,28,553,7,130,34802,943,5,12,3071,1570,0,1252,16,0,195,9,8,69,71,712,12,1,2248,70,74,108,25,538,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,7,15,13,16,2,11,7,5,2,4,4,4,5,2,5,1,6,9,2,3,8,6,0,0,1,1,4,2,13,0,8,1,11,0,0,6,11,3,6,0,0,6,201,448,5,0,2,2,3,9,5,1,0,0,2,0,1,0,4,1,3,3,0,0,0,1,1,3,4,0,0,0,8,32,6,14,0,3,3,1,3,12,15,19,3,4,5,22,0,2,3,16,0,15,2,0,9,3,1,0,0,4,2,3,5,1,12,13,18,0,0,0,0,0,0,0,6,0,3,33,36,0,0,0,0,0,1,8,0,9,3,4,0,4,9
11BR030,2,0,3905,397,107,1295,81,1509,29,242,0,1038,20,2,0,149,1549,308,2,0,545,211,1385,0,31,1978,2508,3152,530,2,4,189,981,656,244,171,280,145,1757,78,166,903,7,1,0,22,2,1,54,110,562,1827,785,3146,131,2,1322,2027,1164,416,2,0,521,424,971,989,17,1,137,5903,211,54,674,41,17,75,4,21,1,93,1,19,2396,2,461,39,526,0,66,0,19,203,13,185,5669,1173,6813,14,174,24,145,1,14,7263,154,40,55,1,106,2341,1793,2399,4,1,262,0,1003,2454,211,4392,5,437,22573,420,0,102,2544,831,0,4903,158,0,114,10,24,631,39,167,4,3,1228,431,763,452,173,2965,7,8,1,2,4,3,2,0,5,2,7,5,2,6,3,2,0,2,4,1,1,13,0,1,0,3,3,0,2,3,1,1,5,2,0,4,1,6,2,0,1,0,3,7,0,0,0,4,2,1,2,0,1,0,5,7,21,29,14,50,81,34,106,45,51,32,40,2,78,28,13,61,26,10,13,15,67,5,6,37,39,8,7,12,79,37,11,99,3,13,42,24,1,31,45,59,48,42,1,0,56,952,3008,25,8,12,26,19,18,29,9,4,4,7,2,1,10,20,6,22,32,6,17,24,66,3,25,14,49,0,0,13,94,106,195,0,9,35,9,166,93,164,42,21,44,59,101,0,33,9,23,0,26,21,2,55,42,0,1,3,85,48,14,24,3,106,54,158,0,0,2,7,3,5,1,85,9,1,139,389,2,4,0,0,4,9,64,2,48,22,19,13,30,45
11BR028,0,0,56,129,17,21,0,27,4,9,5,22,0,0,0,6,53,14,11,0,25,12,92,0,1,85,190,79,67,0,0,11,27,3,15,2,0,6,107,20,5,57,0,0,0,1,0,1,6,20,10,67,26,42,22,0,0,69,18,13,0,0,51,31,49,28,1,0,4,201,26,5,84,4,3,11,1,1,0,1,0,2,0,0,49,0,39,0,4,0,0,11,1,2,208,81,353,1,2,1,18,0,0,335,1,24,2,0,5,67,103,56,0,1,40,0,117,212,14,120,0,51,73,72,0,0,62,46,0,46,4,0,7,1,38,20,0,7,2,1,32,25,33,14,5,184,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,5,5,8,3,1,2,4,0,6,0,1,4,0,3,1,3,1,1,1,3,0,2,0,1,2,4,3,2,0,1,1,1,0,2,1,2,1,9,0,0,1,101,157,0,0,0,3,3,0,3,0,1,0,0,2,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,1,4,4,11,0,0,1,2,3,6,6,1,1,2,2,4,0,3,0,1,0,0,1,0,1,1,0,0,0,3,1,0,1,1,13,2,11,0,0,0,2,0,0,0,2,1,1,7,15,0,0,0,0,0,2,6,0,3,4,5,2,6,3
05BR045,0,0,29,25,8,15,0,14,1,13,1,34,0,0,0,3,7,5,2,0,27,0,11,0,1,11,31,33,18,2,0,0,13,10,13,1,2,4,20,2,1,25,0,0,0,1,1,0,2,12,23,25,20,13,8,0,2,19,3,0,0,0,22,9,10,12,2,2,9,61,7,0,20,6,1,0,0,4,0,12,0,1,0,3,8,4,14,0,0,0,8,0,1,2,54,71,170,0,4,8,32,0,0,61,1,3,1,0,1,34,36,29,6,0,0,0,16,73,1,21,0,12,46,20,4,1,40,60,0,31,5,0,5,0,1,10,0,5,0,0,15,6,3,9,1,483,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,4,7,14,18,28,11,1,1,5,2,2,4,1,8,1,1,4,2,11,1,2,5,6,1,2,1,4,4,0,8,0,5,0,2,0,1,6,5,4,7,0,0,7,331,776,5,0,2,2,3,6,6,0,1,1,0,0,0,1,4,13,1,4,1,3,6,4,6,2,2,1,0,0,8,22,15,29,1,3,7,1,20,34,17,10,4,3,10,12,0,9,3,6,0,8,7,2,11,11,0,1,1,28,6,3,8,2,17,19,49,0,0,0,3,1,0,0,0,0,0,2,23,0,0,0,0,0,0,3,0,1,9,8,2,1,2
05BR004,0,0,168,161,45,32,2,59,7,3,0,70,0,0,0,40,104,57,7,0,89,14,89,0,14,142,258,220,69,0,0,17,47,58,22,11,1,12,360,42,12,57,0,0,0,12,1,0,2,43,36,161,51,103,18,0,0,110,41,0,0,0,57,44,56,56,72,0,71,512,75,16,168,23,19,18,2,62,1,138,1,0,1,4,94,49,93,2,18,0,143,16,39,16,366,197,805,1,32,45,141,0,0,566,70,24,2,0,17,205,146,97,1,0,16,0,222,391,10,267,1,72,370,16,3,4,121,193,3,140,53,0,31,0,1,69,7,52,0,0,211,47,5,24,3,432,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,1,1,0,0,7,1,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,1,3,0,0,0,0,2,0,0,0,1,0,1,1,0,4,3,1,8,6,13,5,11,4,2,3,7,0,1,5,3,6,0,0,1,1,2,11,5,0,2,1,1,3,4,3,0,0,4,3,0,3,3,20,13,9,0,0,3,265,432,5,2,3,10,14,3,10,0,0,0,0,1,0,1,4,1,1,6,0,0,3,4,3,1,17,4,0,0,1,12,8,15,0,3,4,0,7,8,22,14,2,0,6,19,0,2,0,6,1,8,0,2,5,2,0,0,1,19,15,0,7,0,10,4,11,0,0,0,0,1,0,0,3,1,0,17,24,0,0,0,0,1,2,12,0,4,8,9,2,2,3
05BR009,0,0,75,50,29,64,13,52,1,24,1,6,0,0,0,24,63,2,1,1,43,4,142,0,2,182,283,159,105,0,0,16,197,102,24,12,45,4,246,42,43,97,1,0,0,5,0,1,1,7,26,285,50,251,12,0,73,113,12,7,0,0,67,165,39,66,5,0,10,507,55,7,96,11,31,28,11,5,0,16,0,0,2,2,68,5,117,0,2,0,1,5,3,24,284,189,715,0,11,5,25,1,7,707,5,23,1,0,5,240,221,89,3,2,7,0,162,447,4,258,0,75,150,89,5,0,322,160,0,102,4,0,22,0,2,41,0,14,0,2,96,21,30,53,2,423,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,11,6,12,4,16,6,6,7,1,8,2,4,3,3,8,2,2,4,2,2,6,5,2,0,2,2,6,2,4,0,2,3,1,0,3,3,4,2,8,0,0,7,158,477,6,0,1,4,6,4,5,1,2,0,0,0,0,0,1,0,0,4,1,0,6,9,0,4,1,2,0,0,8,19,5,11,0,4,4,2,4,18,15,3,3,3,6,7,1,5,2,6,0,5,4,1,5,1,0,0,1,17,12,0,4,0,12,9,15,0,0,0,0,0,0,0,2,2,0,48,26,1,0,0,1,1,8,8,0,6,12,8,7,2,2
18BR009,3,0,1169,594,114,670,9,216,34,527,900,1528,0,0,0,184,253,6290,232,0,1213,340,1594,0,11,592,1258,1584,1079,4,0,19,1810,387,561,7,624,60,1016,98,129,692,3,1,0,13,3,0,6,8,549,450,309,482,196,0,148,428,789,245,0,0,292,281,272,483,19,0,35,2345,290,26,594,18,72,12,2,5,0,27,1,7,2,15,820,29,2067,0,16,2,25,1314,63,30,2060,6922,2096,10,34,44,88,2,13,2260,43,93,31,0,20,3432,1608,457,8,6,91,0,3545,3188,14,1099,0,360,1189,2020,20,8,1420,1582,4,692,141,0,53,4,0,207,0,150,1,4,1432,168,149,398,99,1898,7,1,1,4,2,0,3,3,4,4,2,2,2,2,0,3,0,2,2,2,0,8,2,2,0,1,2,1,1,5,3,0,3,1,0,1,0,2,4,0,1,0,0,3,0,0,2,3,0,0,1,0,4,1,1,0,10,9,10,22,50,48,42,27,42,14,31,0,36,23,14,26,26,26,12,19,12,9,11,23,13,8,4,17,10,39,10,28,1,15,24,16,0,10,36,34,31,36,0,0,35,935,1536,14,7,9,21,15,14,22,3,6,6,10,2,5,6,7,4,12,29,3,2,32,14,4,9,22,16,0,0,28,61,42,96,0,28,13,2,63,170,73,45,21,26,21,57,0,29,10,14,1,30,10,4,25,20,1,0,2,38,14,7,8,2,52,21,51,0,0,0,2,1,0,0,10,6,0,46,106,1,0,0,0,0,6,17,0,14,24,18,4,11,10
11BR031,2,0,393,206,520,268,3,108,76,70,1,72,0,0,0,944,754,80,5,0,265,437,1791,0,19,2238,765,1557,94,0,0,500,500,69,94,24,0,59,576,92,25,338,3,0,0,20,3,0,11,88,5119,1897,161,222,293,2,0,2807,73,927,3,0,245,598,105,223,33,0,32,1978,68,31,115,71,16,18,15,9,0,51,0,0,33,3,109,8,194,0,19,3,6,91,10,16,7266,1943,6332,2,36,54,76,2,5,1019,71,166,105,0,16,574,12080,670,2,5,94,0,243,1050,59,744,0,229,1132,133,1,7,801,800,1,1816,52,0,86,3,19,535,5,141,3,2,369,56,103,519,100,703,4,0,0,3,0,1,0,0,0,0,1,0,0,2,2,0,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,3,1,14,7,5,8,16,6,18,9,16,0,8,1,15,11,7,10,1,6,3,4,8,6,7,8,10,2,0,5,0,5,6,16,1,3,1,3,0,3,7,15,8,10,0,0,15,371,533,6,0,2,5,5,3,7,5,2,3,1,0,1,1,3,1,3,3,0,2,11,7,1,3,9,2,0,0,4,16,7,37,0,7,6,4,17,32,10,5,8,12,3,29,0,11,3,7,0,11,11,0,16,4,0,1,0,19,8,2,3,0,19,11,50,0,0,0,1,0,1,0,6,16,1,78,51,0,1,1,0,2,5,19,1,12,13,10,7,10,15
11BR049,1,1,2687,22,107,712,1,686,5,22,0,48,0,0,0,15,310,35,4,0,126,31,360,0,1772,3740,3289,964,82,0,0,455,1368,257,294,11,0,33,1591,68,194,665,3,0,0,38,1,1,12,90,45,300,3,936,113,1,1,847,93,1632,0,0,230,92,324,183,471,1,787,2957,1042,13,658,96,46,16,1136,312,0,1274,0,6,10,18,23,69,1796,0,6,1,140,897,547,3,1503,1136,1769,0,400,173,320,0,2,5864,121,68,552,0,8,488,522,387,0,8,47,0,345,726,11,872,0,55,187,88,3,3,232,561,0,492,187,0,6,2,74,143,4,406,0,0,1454,28,133,587,185,422,2,1,3,0,2,0,0,0,2,1,1,0,0,2,0,1,0,0,0,1,0,3,0,1,0,2,0,1,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,9,3,2,10,9,11,7,1,0,6,5,1,15,2,6,5,7,0,3,4,2,2,3,5,7,0,2,2,4,4,3,9,0,4,7,4,1,3,13,13,7,6,0,0,11,162,465,5,0,2,2,5,3,3,1,0,0,2,0,1,1,3,1,2,3,1,0,1,7,0,0,0,10,0,0,9,18,5,31,0,1,6,4,13,23,11,17,6,4,10,14,0,7,2,5,0,3,3,0,5,4,0,1,0,21,4,0,0,0,12,6,26,0,0,0,1,0,1,0,16,12,0,31,33,0,0,0,0,1,4,8,0,10,11,10,9,11,5
01BR001,1,0,145,256,179,15,3,26,0,14,157,1092,0,0,0,6,26,19,13,0,19,5,50,0,7,60,153,74,56,0,0,5,97,25,25,4,2,14,46,9,11,17,0,0,0,1,0,0,5,41,34,55,1,90,11,0,0,57,37,0,0,0,30,32,52,52,6,0,8,482,104,18,178,1,82,5,13,4,0,12,0,5,6,5,60,15,58,0,2,0,7,2,4,0,3284,271,959,0,15,8,226,1,4,1047,0,28,6,0,0,410,157,356,0,1,8,1,126,195,5,67,0,50,140,51,0,8,214,210,0,129,2,0,8,0,4,29,3,5,1,0,105,2,21,35,1,154,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,5,4,2,1,1,4,1,1,0,1,3,0,0,3,0,2,2,0,1,4,0,0,0,0,0,2,4,1,0,0,2,0,0,3,4,0,2,0,0,0,94,91,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,4,4,6,6,0,0,1,2,3,8,9,1,0,4,2,3,0,2,0,2,0,1,0,1,1,1,1,0,0,2,1,1,1,1,5,0,19,0,0,0,1,0,0,0,1,1,0,7,15,0,0,0,0,0,0,4,0,5,2,0,2,1,2
